FWR=0.0P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.7P=0.85
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,394.404+-562.055,124.432+-202.002,591.510+-322.174,678.851+-458.564,34/100,15/100,51/100
laggy,439.941+-558.818,137.433+-196.045,555.110+-314.772,613.475+-431.292,37/100,12/100,51/100
noisy,371.817+-537.955,110.256+-189.062,558.150+-317.038,562.281+-326.781,31/100,16/100,53/100
random,348.670+-550.573,109.334+-189.538,568.740+-325.314,571.447+-323.542,30/100,13/100,57/100
zero,347.537+-550.947,100.324+-180.189,615.530+-316.864,434.226+-235.938,30/100,13/100,57/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.019+-532.841,328.796+-227.235,381.030+-227.644,0.000+-0.000,80/100,13/100,7/100
laggy,77.982+-590.249,-24.851+-304.875,265.500+-199.910,0.000+-0.000,21/100,74/100,5/100
noisy,-112.325+-90.654,-96.877+-76.743,121.730+-31.671,0.000+-0.000,0/100,100/100,0/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,256.074+-532.318,70.707+-168.048,605.080+-306.028,0.000+-0.000,24/100,22/100,54/100
"
"
FWR=0.4P=0.4
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,936.009+-516.207,297.512+-199.019,461.290+-261.851,276.583+-259.962,82/100,6/100,12/100
laggy,804.384+-575.858,256.508+-217.813,467.140+-281.516,290.249+-261.417,70/100,11/100,19/100
noisy,868.350+-515.851,266.652+-200.541,477.870+-278.531,353.831+-251.022,74/100,7/100,19/100
random,224.827+-499.049,73.185+-180.264,597.570+-348.216,526.721+-316.512,20/100,23/100,57/100
zero,306.878+-515.886,89.229+-174.832,571.740+-330.074,376.675+-232.048,26/100,15/100,59/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,878.958+-553.650,325.350+-232.512,387.960+-239.388,0.000+-0.000,78/100,14/100,8/100
noisy,82.047+-248.301,6.718+-51.776,580.530+-426.850,0.000+-0.000,4/100,48/100,48/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
