FWR=0.1P=0.85
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
noisy,280.720+-68.133,1982.880+-931.593,26.060+-28.781,6.820+-9.342,88/100,0/100,12/100
random,92.503+-85.761,157.151+-204.534,82.720+-26.638,33.295+-10.496,10/100,26/100,64/100
zero,177.759+-111.155,515.720+-441.120,44.560+-20.625,13.832+-4.834,43/100,52/100,5/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.277+-4.904,3322.398+-430.423,9.330+-2.191,0.000+-0.000,100/100,0/100,0/100
laggy,252.498+-95.442,2097.612+-1253.755,31.860+-36.495,0.000+-0.000,78/100,0/100,22/100
noisy,276.052+-76.052,1724.467+-853.485,27.380+-27.486,0.000+-0.000,88/100,0/100,12/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,194.975+-112.589,1798.191+-1253.834,17.170+-21.404,0.000+-0.000,51/100,43/100,6/100
"
"
FWR=0.9P=0.8
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,215.049+-109.030,2089.704+-1219.777,13.640+-15.558,6.522+-15.204,61/100,36/100,3/100
laggy,191.652+-110.595,1755.021+-1232.822,15.440+-17.379,11.952+-20.776,49/100,48/100,3/100
noisy,193.566+-110.329,1872.448+-1235.644,13.310+-13.247,12.525+-15.074,51/100,47/100,2/100
random,182.455+-108.523,1661.572+-1266.899,20.010+-25.634,21.425+-28.782,45/100,46/100,9/100
zero,176.704+-107.458,1689.222+-1277.607,16.690+-20.833,13.708+-20.511,43/100,52/100,5/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.277+-4.904,3322.398+-430.423,9.330+-2.191,0.000+-0.000,100/100,0/100,0/100
laggy,74.505+-97.992,210.891+-590.691,92.540+-22.157,0.000+-0.000,12/100,0/100,88/100
noisy,82.455+-78.807,98.915+-141.372,97.250+-10.229,0.000+-0.000,9/100,0/100,91/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,194.975+-112.589,1798.191+-1253.834,17.170+-21.404,0.000+-0.000,51/100,43/100,6/100
"
"
FWR=0.1P=0.5
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,298.375+-37.231,3014.110+-796.773,13.480+-16.414,1.204+-2.054,97/100,0/100,3/100
laggy,257.056+-91.793,1721.519+-1251.906,37.060+-35.802,5.396+-5.636,78/100,0/100,22/100
noisy,268.666+-86.029,1129.686+-706.053,40.290+-30.409,5.929+-5.009,81/100,1/100,18/100
random,22.182+-34.417,22.285+-34.554,99.860+-1.393,20.247+-2.509,0/100,1/100,99/100
zero,72.190+-65.055,77.209+-84.006,98.760+-5.335,14.150+-1.135,7/100,0/100,93/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.277+-4.904,3322.398+-430.423,9.330+-2.191,0.000+-0.000,100/100,0/100,0/100
laggy,224.525+-108.558,1240.943+-1255.916,54.420+-40.354,0.000+-0.000,60/100,0/100,40/100
noisy,244.059+-105.356,913.898+-693.973,49.490+-33.842,0.000+-0.000,72/100,1/100,27/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,194.975+-112.589,1798.191+-1253.834,17.170+-21.404,0.000+-0.000,51/100,43/100,6/100
"
"
FWR=0.7P=0.7
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,205.043+-109.562,1986.353+-1233.786,11.770+-4.978,4.861+-4.434,56/100,44/100,0/100
laggy,186.967+-110.795,1796.318+-1240.207,13.970+-15.497,9.657+-14.107,48/100,50/100,2/100
noisy,191.664+-111.205,1861.730+-1278.566,14.660+-17.961,13.533+-20.453,50/100,46/100,4/100
random,191.587+-111.101,1790.715+-1244.952,15.120+-17.483,15.259+-16.793,49/100,48/100,3/100
zero,196.070+-109.244,1830.807+-1301.439,16.410+-18.915,12.631+-18.570,51/100,45/100,4/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.264+-4.853,3320.235+-439.431,9.360+-2.352,0.000+-0.000,100/100,0/100,0/100
laggy,147.184+-118.526,438.881+-719.630,80.120+-31.690,0.000+-0.000,33/100,0/100,67/100
noisy,162.689+-111.896,289.005+-337.634,83.860+-24.934,0.000+-0.000,36/100,2/100,62/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,182.958+-111.141,1707.814+-1212.613,14.440+-16.044,0.000+-0.000,46/100,51/100,3/100
"
"
FWR=0.9P=0.1
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,205.031+-108.834,1907.818+-1206.946,12.800+-8.264,5.804+-7.814,55/100,45/100,0/100
laggy,179.725+-107.995,1705.843+-1268.746,16.440+-20.186,10.972+-23.734,44/100,51/100,5/100
noisy,198.482+-110.777,1860.019+-1252.528,16.120+-18.962,10.269+-19.850,52/100,44/100,4/100
random,199.061+-109.388,1942.798+-1342.725,17.480+-22.987,18.117+-23.884,53/100,40/100,7/100
zero,200.591+-111.874,1936.393+-1266.334,12.700+-10.753,9.709+-8.291,54/100,45/100,1/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,298.543+-26.880,3305.653+-515.255,10.140+-9.235,0.000+-0.000,99/100,0/100,1/100
laggy,282.109+-60.294,2961.018+-998.497,17.650+-25.954,0.000+-0.000,91/100,0/100,9/100
noisy,284.409+-58.352,2599.684+-983.481,18.710+-24.346,0.000+-0.000,92/100,0/100,8/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,182.958+-111.141,1707.814+-1212.613,14.440+-16.044,0.000+-0.000,46/100,51/100,3/100
"
"
FWR=0.6P=0.1
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,200.184+-111.703,1907.091+-1264.817,14.800+-16.581,8.997+-28.567,54/100,43/100,3/100
laggy,192.684+-112.494,1755.447+-1239.019,16.410+-19.735,9.452+-18.414,49/100,46/100,5/100
noisy,193.581+-108.841,1885.912+-1285.529,15.140+-18.076,9.137+-17.757,51/100,45/100,4/100
random,203.133+-108.260,2013.367+-1248.406,12.110+-10.277,12.487+-11.053,55/100,44/100,1/100
zero,195.844+-111.668,1807.639+-1210.856,14.880+-16.560,11.275+-13.127,52/100,45/100,3/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.264+-4.853,3320.235+-439.431,9.360+-2.352,0.000+-0.000,100/100,0/100,0/100
laggy,284.297+-57.860,2973.205+-970.002,16.880+-24.601,0.000+-0.000,92/100,0/100,8/100
noisy,284.776+-58.428,2694.587+-942.471,17.210+-22.924,0.000+-0.000,92/100,1/100,7/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,182.958+-111.141,1707.814+-1212.613,14.440+-16.044,0.000+-0.000,46/100,51/100,3/100
"
"
FWR=0.4P=0.6
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,209.991+-106.642,1969.782+-1319.951,19.230+-24.581,9.631+-18.843,58/100,34/100,8/100
laggy,200.547+-109.123,1931.970+-1258.567,15.130+-18.310,8.219+-12.473,54/100,42/100,4/100
noisy,191.839+-111.585,1555.868+-1173.374,20.030+-23.151,15.063+-19.216,49/100,44/100,7/100
random,199.815+-109.214,1711.930+-1196.092,17.290+-19.254,15.558+-14.938,53/100,43/100,4/100
zero,183.915+-109.443,1645.303+-1236.734,15.770+-15.950,11.081+-10.620,46/100,51/100,3/100
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Not Assisted
expert,301.277+-4.904,3322.398+-430.423,9.330+-2.191,0.000+-0.000,100/100,0/100,0/100
laggy,178.539+-120.349,769.128+-963.859,66.510+-38.364,0.000+-0.000,45/100,0/100,55/100
noisy,234.120+-110.824,585.762+-476.438,62.580+-30.849,0.000+-0.000,65/100,3/100,32/100
random,-1.610+-22.074,-1.610+-22.074,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
zero,-0.019+-0.017,-0.019+-0.017,100.000+-0.000,0.000+-0.000,0/100,0/100,100/100
~di_na,194.975+-112.589,1798.191+-1253.834,17.170+-21.404,0.000+-0.000,51/100,43/100,6/100
"
"
FWR=0.2P=0.7
actor,reward,avg_reward,ep length,action diffs,left,right,timeout,Assisted
expert,291.975+-43.371,2907.044+-859.399,15.110+-19.975,2.511+-5.547,95/100,0/100,5/100
laggy,241.110+-112.873,1746.629+-1336.792,35.850+-34.916,12.141+-13.526,74/100,6/100,20/100
noisy,251.558+-97.980,954.455+-721.001,47.900+-33.709,15.963+-11.065,71/100,4/100,25/100
random,105.776+-103.957,208.597+-366.720,85.450+-25.832,35.850+-11.758,17/100,15/100,68/100
