FWR=0.3P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
noisy,-127.013+-373.318,-95.403+-375.141,120.880+-32.559,0.000+-0.000,8/100,92/100,0/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,157.586+-618.882,115.633+-342.888,610.410+-319.479,0.000+-0.000,32/100,44/100,24/100
"
"
FWR=0.8P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,299.125+-653.262,140.556+-330.411,602.160+-310.977,724.139+-391.408,43/100,38/100,19/100
laggy,172.824+-630.008,71.244+-243.574,642.170+-297.781,766.962+-369.169,34/100,43/100,23/100
noisy,114.926+-601.060,70.251+-253.535,592.350+-303.242,603.298+-306.537,28/100,50/100,22/100
random,202.054+-636.661,109.764+-309.849,572.100+-305.169,510.269+-268.716,36/100,46/100,18/100
zero,164.337+-626.937,77.815+-279.079,588.390+-300.833,289.361+-142.529,33/100,52/100,15/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.065+-579.475,370.914+-487.773,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,576.402+-578.322,422.721+-471.243,234.100+-222.178,0.000+-0.000,55/100,38/100,7/100
noisy,19.251+-462.012,34.550+-362.121,225.290+-218.968,0.000+-0.000,15/100,79/100,6/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,147.577+-620.284,117.669+-356.384,576.820+-323.138,0.000+-0.000,31/100,48/100,21/100
"
"
FWR=0.6P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,264.961+-720.797,180.623+-392.562,509.410+-316.848,596.035+-397.591,40/100,44/100,16/100
laggy,232.914+-632.832,126.482+-341.703,549.840+-305.839,643.612+-377.444,37/100,46/100,17/100
noisy,210.730+-633.360,108.269+-312.459,599.800+-322.748,602.107+-329.631,35/100,42/100,23/100
random,168.806+-641.831,75.900+-272.155,566.680+-325.893,502.718+-285.600,33/100,43/100,24/100
zero,133.075+-678.184,112.715+-335.679,566.190+-323.046,277.649+-150.737,31/100,49/100,20/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.111+-579.442,370.919+-487.769,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,576.027+-578.716,422.932+-470.520,242.330+-234.794,0.000+-0.000,55/100,37/100,8/100
noisy,16.912+-462.687,34.366+-362.138,224.640+-213.043,0.000+-0.000,15/100,80/100,5/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,157.586+-618.882,115.633+-342.888,610.410+-319.479,0.000+-0.000,32/100,44/100,24/100
"
"
FWR=0.5P=0.5
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,435.439+-680.120,256.689+-401.910,395.130+-289.941,414.102+-326.393,50/100,40/100,10/100
laggy,408.034+-669.359,248.386+-383.842,465.070+-310.763,497.168+-342.510,48/100,34/100,18/100
noisy,303.847+-611.960,170.105+-353.704,493.460+-309.609,491.949+-327.307,40/100,45/100,15/100
random,44.758+-555.830,42.375+-262.796,554.510+-338.588,474.354+-286.544,22/100,56/100,22/100
zero,-22.178+-535.438,32.391+-269.895,584.060+-308.574,288.953+-149.771,19/100,62/100,19/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.111+-579.442,370.919+-487.769,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,500.927+-582.759,384.714+-472.791,248.970+-254.946,0.000+-0.000,48/100,42/100,10/100
noisy,308.615+-572.211,223.396+-431.510,327.740+-312.860,0.000+-0.000,35/100,49/100,16/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,157.586+-618.882,115.633+-342.888,610.410+-319.479,0.000+-0.000,32/100,44/100,24/100
"
"
FWR=1.0P=0.9
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,189.103+-636.406,86.059+-270.299,604.710+-302.429,722.869+-375.642,35/100,47/100,18/100
laggy,199.727+-627.675,98.497+-288.777,567.810+-308.923,692.511+-384.392,35/100,47/100,18/100
noisy,256.549+-656.877,157.583+-370.634,576.430+-321.383,532.186+-295.044,40/100,42/100,18/100
random,141.935+-593.658,107.473+-306.492,591.820+-307.420,529.974+-273.418,29/100,49/100,22/100
zero,210.311+-620.987,96.220+-325.193,570.650+-335.364,286.191+-167.387,35/100,42/100,23/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.111+-579.442,370.919+-487.769,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,-88.892+-628.776,-51.921+-637.467,143.840+-78.346,0.000+-0.000,22/100,78/100,0/100
noisy,-215.721+-285.216,-201.420+-273.106,112.340+-28.403,0.000+-0.000,4/100,96/100,0/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,157.586+-618.882,115.633+-342.888,610.410+-319.479,0.000+-0.000,32/100,44/100,24/100
"
"
FWR=0.9P=0.2
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,195.991+-627.617,108.856+-306.935,566.180+-328.304,683.820+-415.345,34/100,42/100,24/100
laggy,131.674+-609.116,75.001+-270.084,588.980+-299.069,718.724+-373.176,30/100,48/100,22/100
noisy,157.689+-615.046,78.894+-275.285,602.370+-311.193,690.798+-365.751,32/100,47/100,21/100
random,222.461+-632.438,104.827+-309.237,620.670+-310.303,554.614+-275.176,37/100,41/100,22/100
zero,264.352+-640.119,137.355+-331.099,559.290+-316.060,277.837+-150.722,40/100,43/100,17/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.065+-579.475,370.914+-487.773,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,476.559+-579.714,381.434+-483.495,250.500+-257.913,0.000+-0.000,46/100,44/100,10/100
noisy,461.550+-574.667,361.635+-477.596,232.920+-233.995,0.000+-0.000,45/100,47/100,8/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,147.577+-620.284,117.669+-356.384,576.820+-323.138,0.000+-0.000,31/100,48/100,21/100
"
"
FWR=0.6P=0.7
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,251.118+-622.938,125.039+-321.446,555.020+-310.100,654.827+-393.384,38/100,42/100,20/100
laggy,182.933+-620.369,111.551+-323.593,596.330+-337.580,707.234+-420.891,33/100,40/100,27/100
noisy,194.000+-648.201,99.432+-317.864,583.920+-305.374,566.109+-297.503,36/100,49/100,15/100
random,121.789+-592.860,89.936+-281.485,592.130+-314.456,524.516+-274.680,28/100,49/100,23/100
zero,314.969+-651.211,144.594+-355.975,545.500+-320.596,269.631+-152.088,44/100,40/100,16/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.065+-579.475,370.914+-487.773,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,513.839+-594.843,392.935+-480.025,231.340+-214.118,0.000+-0.000,51/100,44/100,5/100
noisy,-54.876+-411.887,1.454+-409.165,175.280+-169.848,0.000+-0.000,11/100,86/100,3/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,147.577+-620.284,117.669+-356.384,576.820+-323.138,0.000+-0.000,31/100,48/100,21/100
"
"
FWR=0.1P=0.1
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,474.578+-581.908,380.232+-483.701,255.610+-253.436,30.609+-31.029,46/100,45/100,9/100
laggy,470.600+-582.904,377.586+-483.826,254.120+-254.296,30.820+-31.725,46/100,45/100,9/100
noisy,478.604+-593.026,375.115+-480.788,239.950+-234.549,30.055+-30.251,47/100,45/100,8/100
random,-240.816+-297.624,-231.884+-296.332,107.360+-23.629,21.730+-13.597,4/100,96/100,0/100
zero,-295.976+-111.330,-318.083+-135.385,96.650+-20.541,16.774+-7.493,0/100,100/100,0/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.111+-579.442,370.919+-487.769,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,496.146+-581.908,390.571+-484.896,237.050+-231.385,0.000+-0.000,48/100,45/100,7/100
noisy,499.057+-575.228,381.982+-477.559,252.390+-248.035,0.000+-0.000,48/100,43/100,9/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,157.586+-618.882,115.633+-342.888,610.410+-319.479,0.000+-0.000,32/100,44/100,24/100
"
"
FWR=0.7P=0.8
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,268.215+-643.004,136.616+-358.440,531.060+-315.065,641.577+-403.688,40/100,47/100,13/100
laggy,210.052+-636.766,113.262+-311.000,544.690+-301.852,663.048+-381.556,36/100,52/100,12/100
noisy,197.699+-624.169,98.820+-302.317,562.940+-312.923,539.009+-300.378,34/100,48/100,18/100
random,209.703+-633.119,134.731+-334.592,595.790+-313.120,532.738+-277.263,35/100,43/100,22/100
zero,134.280+-604.271,92.937+-302.799,608.860+-309.115,298.550+-147.064,29/100,47/100,24/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.065+-579.475,370.914+-487.773,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,345.667+-667.858,296.661+-543.989,210.770+-192.945,0.000+-0.000,45/100,51/100,4/100
noisy,-127.013+-373.318,-95.403+-375.141,120.880+-32.559,0.000+-0.000,8/100,92/100,0/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,147.577+-620.284,117.669+-356.384,576.820+-323.138,0.000+-0.000,31/100,48/100,21/100
"
"
FWR=0.3P=0.85
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,498.369+-571.714,385.730+-485.020,248.410+-247.156,104.378+-119.170,48/100,43/100,9/100
laggy,446.951+-593.296,319.333+-471.595,274.620+-276.721,150.608+-152.658,45/100,43/100,12/100
noisy,15.960+-517.376,70.210+-422.566,362.050+-310.536,223.732+-193.159,18/100,71/100,11/100
random,-131.418+-430.231,-39.841+-424.663,306.160+-317.273,199.681+-212.328,10/100,76/100,14/100
zero,-168.870+-412.356,-71.896+-338.880,383.790+-347.872,170.912+-141.767,9/100,75/100,16/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,461.111+-579.442,370.919+-487.769,249.450+-250.152,0.000+-0.000,45/100,46/100,9/100
laggy,133.733+-692.506,120.544+-537.655,181.900+-107.355,0.000+-0.000,33/100,67/100,0/100
noisy,-167.414+-326.002,-141.572+-338.951,122.460+-92.378,0.000+-0.000,6/100,93/100,1/100
random,-303.832+-267.203,-305.004+-274.815,105.870+-28.467,0.000+-0.000,3/100,97/100,0/100
zero,-310.696+-77.745,-470.120+-135.109,68.100+-13.168,0.000+-0.000,0/100,100/100,0/100
~di_na,157.586+-618.882,115.633+-342.888,610.410+-319.479,0.000+-0.000,32/100,44/100,24/100
"
"
FWR=0.1P=0.3
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,474.578+-581.908,380.232+-483.701,255.610+-253.436,30.609+-31.029,46/100,45/100,9/100
laggy,506.546+-586.395,394.850+-483.308,219.370+-206.049,26.628+-25.679,49/100,47/100,4/100
noisy,494.150+-576.892,337.348+-429.029,283.420+-285.735,38.947+-40.842,48/100,39/100,13/100
random,-249.886+-291.458,-245.784+-287.401,107.260+-28.171,20.393+-9.310,4/100,96/100,0/100
zero,-295.976+-111.330,-318.083+-135.385,96.650+-20.541,16.774+-7.493,0/100,100/100,0/100
